event_name,event_lat,event_lon,stop_id,stop_name,stop_lat,stop_lon,distance
"Dún Laoghaire Walking Tours, The Dublin Riviera",53.29491460000001,-6.1337385,8250IR0124,Dun Laoghaire (Mallin),53.294776,-6.134575,0.0008479045995889275
Conversations on a Homecoming,53.7154691,-7.7996269,8290IR0072,Longford,53.724079,-7.796346,0.00921383106096789
The Witch Who Couldn’t Sleep,53.7154691,-7.7996269,8290IR0072,Longford,53.724079,-7.796346,0.00921383106096789
Before,53.7154691,-7.7996269,8290IR0072,Longford,53.724079,-7.796346,0.00921383106096789
Conal Gallen – The Last Laugh Tour,53.7154691,-7.7996269,8290IR0072,Longford,53.724079,-7.796346,0.00921383106096789
The Man In The Woman’s Shoes,53.7154691,-7.7996269,8290IR0072,Longford,53.724079,-7.796346,0.00921383106096789
Padraig Jack,53.7154691,-7.7996269,8290IR0072,Longford,53.724079,-7.796346,0.00921383106096789
CISEACH,53.7154691,-7.7996269,8290IR0072,Longford,53.724079,-7.796346,0.00921383106096789
Red Line Comedy Club,53.7154691,-7.7996269,8290IR0072,Longford,53.724079,-7.796346,0.00921383106096789
Little Folk – On The Road,53.7154691,-7.7996269,8290IR0072,Longford,53.724079,-7.796346,0.00921383106096789
The Kings of the Kilburn High Road,53.7154691,-7.7996269,8290IR0072,Longford,53.724079,-7.796346,0.00921383106096789
National Circus Festival of Ireland,52.2666168,-9.7083368,8390B635851,Tralee Prince's Street,52.266953,-9.709685,0.0013894868405283879
Aoife Dunne - Good Grief,54.0089765,-6.3900726,8300PB14641,Saint Gerard's Square,54.00693,-6.38752,0.00327168595834345
