stop_id,reachable_15min,reachable_30min,reachable_45min,stop_lat,stop_lon,reachable_15min_norm,reachable_30min_norm,reachable_45min_norm,cluster
8220000002,20,332,1836,53.349883,-6.230232,0.0975609756097561,0.2270861833105335,0.5155855096882898,0
8220000002,20,332,1836,53.349883,-6.230232,0.0975609756097561,0.2270861833105335,0.5155855096882898,0
8220000003,6,218,1539,53.35,-6.19725,0.0292682926829268,0.1491108071135431,0.4321819713563605,3
8220000003,6,218,1539,53.35,-6.19725,0.0292682926829268,0.1491108071135431,0.4321819713563605,3
8220000005,65,584,2210,53.332343,-6.363435,0.3170731707317073,0.399452804377565,0.6206121875877563,0
8220000005,65,584,2210,53.332343,-6.363435,0.3170731707317073,0.399452804377565,0.6206121875877563,0
8220000150,96,1029,3054,53.348562,-6.258961,0.4682926829268293,0.7038303693570451,0.8576242628475147,2
8220000150,96,1029,3054,53.348562,-6.258961,0.4682926829268293,0.7038303693570451,0.8576242628475147,2
8220000357,19,231,1200,53.34734,-6.25258,0.0926829268292682,0.1580027359781121,0.3369839932603201,3
8220000357,19,231,1200,53.34734,-6.25258,0.0926829268292682,0.1580027359781121,0.3369839932603201,3
8220000372,57,727,2791,53.350791,-6.226003,0.2780487804878049,0.4972640218878248,0.7837686043246279,2
8220000372,57,727,2791,53.350791,-6.226003,0.2780487804878049,0.4972640218878248,0.7837686043246279,2
8220000386,49,469,1724,53.3372305636195,-6.23955550217558,0.2390243902439024,0.3207934336525307,0.4841336703173265,0
8220000386,49,469,1724,53.3372305636195,-6.23955550217558,0.2390243902439024,0.3207934336525307,0.4841336703173265,0
8220000413,0,1,5,53.3517236557729,-6.26129581880893,0.0,0.0006839945280437,0.001404099971918,1
8220000413,0,1,5,53.3517236557729,-6.26129581880893,0.0,0.0006839945280437,0.001404099971918,1
8220000414,0,0,0,53.351482883111,-6.26080990001759,0.0,0.0,0.0,1
8220000414,0,0,0,53.351482883111,-6.26080990001759,0.0,0.0,0.0,1
8220000441,42,485,1385,53.353699,-6.258169,0.2048780487804878,0.3317373461012312,0.3889356922212861,0
8220000441,42,485,1385,53.353699,-6.258169,0.2048780487804878,0.3317373461012312,0.3889356922212861,0
822008203,10,96,672,53.36469,-6.33167,0.048780487804878,0.0656634746922024,0.1887110362257792,1
822008203,10,96,672,53.36469,-6.33167,0.048780487804878,0.0656634746922024,0.1887110362257792,1
822008204,13,130,793,53.35938,-6.32384,0.0634146341463414,0.0889192886456908,0.2226902555461949,3
822008204,13,130,793,53.35938,-6.32384,0.0634146341463414,0.0889192886456908,0.2226902555461949,3
822008205,21,236,1043,53.35173,-6.30548,0.1024390243902439,0.161422708618331,0.2928952541420949,3
822008205,21,236,1043,53.35173,-6.30548,0.1024390243902439,0.161422708618331,0.2928952541420949,3
822008206,33,360,1290,53.34884,-6.29777,0.1609756097560975,0.2462380300957592,0.3622577927548441,3
822008206,33,360,1290,53.34884,-6.29777,0.1609756097560975,0.2462380300957592,0.3622577927548441,3
822008208,3,3,3,53.348995,-6.298737,0.0146341463414634,0.0020519835841313,0.0008424599831508,1
822008208,3,3,3,53.348995,-6.298737,0.0146341463414634,0.0020519835841313,0.0008424599831508,1
822008209,2,2,2,53.35169,-6.3057,0.0097560975609756,0.0013679890560875,0.0005616399887672,1
822008209,2,2,2,53.35169,-6.3057,0.0097560975609756,0.0013679890560875,0.0005616399887672,1
822008210,1,1,1,53.358951,-6.32316,0.0048780487804878,0.0006839945280437,0.0002808199943836,1
822008210,1,1,1,53.358951,-6.32316,0.0048780487804878,0.0006839945280437,0.0002808199943836,1
82202B008257,45,411,1755,53.385027,-6.278198,0.2195121951219512,0.2811217510259918,0.4928390901432182,0
