stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,operator
8220DB000030,30,Ventry Park,,53.370331900193,-6.30460116922913,,,,,dublin_bus
8220DB000031,31,St Pappin's Road,,53.3860332259144,-6.268858077275,,,,,dublin_bus
8220DB000032,32,Stormanstown Road,,53.3861955680738,-6.2713772010414,,,,,dublin_bus
8220DB000033,33,Glasnevin Drive,,53.3887179243058,-6.27177114122451,,,,,dublin_bus
8220DB000035,35,Dean Swift Road,,53.3862067871013,-6.270910692541,,,,,dublin_bus
8220DB000036,36,Maolbuille Road,,53.386126850411,-6.26787706978339,,,,,dublin_bus
8220DB000037,37,DCU Ballymun Road,,53.385346401194,-6.26488698131794,,,,,dublin_bus
8220DB000038,38,Hampstead Avenue,,53.3822365941636,-6.26550952120506,,,,,dublin_bus
8220DB000039,39,The Rise,,53.3804141869323,-6.26565875906589,,,,,dublin_bus
8220DB000040,40,Stella Avenue,,53.3766607654507,-6.26466896852794,,,,,dublin_bus
8220DB000041,41,Home Farm Road,,53.3755592683258,-6.26185800624669,,,,,dublin_bus
8220DB000042,42,Corpus Christi NS,,53.3746502734575,-6.25746118972134,,,,,dublin_bus
8220DB000043,43,Achill Road,,53.3738612202267,-6.25390131043392,,,,,dublin_bus
8220DB000044,44,Home Farm Road East,,53.373017,-6.252132,,,,,dublin_bus
8220DB000045,45,Drumcondra Village,,53.369936,-6.254107,,,,,dublin_bus
8220DB000046,46,Botanic Avenue,,53.367131,-6.255259,,,,,dublin_bus
8220DB000047,47,Archbishop's House,,53.363916,-6.257298,,,,,dublin_bus
8220DB000048,48,Drumcondra Station,,53.362257,-6.258808,,,,,dublin_bus
8220DB000049,49,Dorset Street Lower,,53.360004,-6.260853,,,,,dublin_bus
8220DB000051,51,Eccles Place,,53.35781,-6.263272,,,,,dublin_bus
8220DB000052,52,Dorset Street Upper,,53.356661,-6.264565,,,,,dublin_bus
8220DB000053,53,Synnott Row,,53.360014,-6.262791,,,,,dublin_bus
8220DB000054,54,The Mater Hospital,,53.360222,-6.265908,,,,,dublin_bus
8220DB000055,55,Mountjoy Prison,,53.360412,-6.26847,,,,,dublin_bus
8220DB000056,56,Phibsborough Church,,53.36076,-6.276374,,,,,dublin_bus
8220DB000057,57,Dalymount,,53.36076,-6.2766,,,,,dublin_bus
8220DB000058,58,Phibsborough Luas,,53.360946,-6.281204,,,,,dublin_bus
8220DB000059,59,Cabra Road,,53.361018,-6.284943,,,,,dublin_bus
8220DB000060,60,Quarry Road,,53.361279,-6.289364,,,,,dublin_bus
8220DB000063,63,Fassaugh Avenue,,53.366792,-6.29275,,,,,dublin_bus
8220DB000064,64,Cabra West Church,,53.367089,-6.295233,,,,,dublin_bus
8220DB000065,65,Dingle Road,,53.367255,-6.298051,,,,,dublin_bus
8220DB000066,66,Killala Road,,53.367275,-6.30074,,,,,dublin_bus
8220DB000068,68,Ventry Drive,,53.369078,-6.304245,,,,,dublin_bus
8220DB000069,69,Carnlough Road,,53.37137,-6.30327,,,,,dublin_bus
8220DB000071,71,Ventry Park,,53.370258,-6.304439,,,,,dublin_bus
8220DB000072,72,Ventry Drive,,53.36897,-6.304265,,,,,dublin_bus
8220DB000073,73,Killala Road,,53.367392,-6.300721,,,,,dublin_bus
8220DB000074,74,Cabra West Church,,53.3672,-6.295499,,,,,dublin_bus
8220DB000075,75,Fionnbarra GAA,,53.366547,-6.291317,,,,,dublin_bus
8220DB000077,77,Quarry Road,,53.361309,-6.289574,,,,,dublin_bus
8220DB000078,78,Cabra Road,,53.361149,-6.284066,,,,,dublin_bus
8220DB000079,79,Phibsborough Luas,,53.361021,-6.280796,,,,,dublin_bus
